Employee ID|First Name|Last Name|Username|HashedPassword|Society ID|Role
20001|Blake|Ferguson|blakeferguson153|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|15,53|employee
20002|Megan|Parker|meganparker206|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|23,17|admin
20003|Liam|Miller|liammiller653|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|15,55|employee
20004|Ella|Carter|ellacarter731|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|37|employee
20005|Daniel|Edwards|daniele|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|43|employee
20006|Samantha|Garcia|samanthagarcia962|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|37|employee
20007|Mason|Walker|masonwalker634|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|15,56,78|employee
20008|Isabella|Martinez|isabellamartinez514|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|49|employee
20009|James|Young|jamesyoung401|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|38|employee
20010|Ava|Thompson|avathompson250|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|25,10|employee
20011|Lucas|Hernandez|lucashernandez828|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|73|employee
20012|Sophia|Gonzalez|sophiagonzalez132|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|61|employee
20013|Jackson|Lee|jacksonlee452|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|50,23|employee
20014|Charlotte|Lopez|charlottelopez827|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|80,29,43|employee
20015|Aiden|White|aidenwhite138|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|24|admin
20016|Amelia|Wilson|ameliawilson395|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|39,20,62|employee
20017|Oliver|Martin|olivermartin506|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|28|employee
20018|Harper|Anderson|harperanderson390|$2b$10$t.Biz8mFm9CD7X51KL6spOVUbe3bzY.Y0ouNTXVxrgqyr1lrWyvTy|12,47|admin
